epoch,split,loss,acc,prec,rec,f1,roc_auc,pr_auc
1,train,0.1876550364664736,0.9387383643617021,0.9101942501942502,0.973538553596064,0.940801362106768,0.9902933482269356,0.9899979145857694
1,val,0.0185280185049543,0.9961708988311165,0.9924,1.0,0.9961855049186911,0.9995654194774278,0.9992106624588428
2,train,0.011285703253258575,0.9985289228723404,0.9971984151981831,0.999867025697284,0.9985309374610948,0.9997274049451104,0.9995005674617867
2,val,0.007317621635997461,0.9983877468762595,0.9969189551239116,0.9998656455730216,0.9983901261067883,0.9999162608912062,0.999880612773637
3,train,0.004374855618113949,0.9993849734042554,0.9988377691809593,0.999933513953759,0.9993853412186856,0.9999332183104028,0.9998978489033398
3,val,0.005731825177626422,0.9985221013032379,0.9971861181830363,0.9998656455730216,0.9985240842613713,0.9998856732818395,0.9997835504700723
4,train,0.0020939370341093696,0.9997423537234043,0.9995679699572955,0.9999168882978723,0.9997423986837404,0.9999722164321561,0.9999604677056478
4,val,0.005877879881123419,0.9985892785167271,0.9971864951768489,1.0,0.9985912658482592,0.9998551939791455,0.9997123986110734
5,train,0.0013771576519889578,0.9998088430851064,0.9997009072480143,0.9999169007296116,0.9998088923232877,0.9999904393910193,0.9999859353508987
5,val,0.005263140585157089,0.9983877468762595,0.9969189551239116,0.9998656455730216,0.9983901261067883,0.9999223531415227,0.9998485533720383
6,train,0.0006763299561846888,0.9999168882978723,0.9998670367477188,0.9999667558717441,0.999916893823549,0.9999965781353881,0.9999944841274412
6,val,0.0038795718843237753,0.9987236329437055,0.9974537657464487,1.0,0.9987252599798725,0.9999307017808452,0.9998620718376172
7,train,0.00037633296802170587,0.9999750664893617,0.9999833773832677,0.9999667553191489,0.9999750662821333,0.9999992197225838,0.999998978155135
7,val,0.004619008646235064,0.9986564557302163,0.9973201125552726,1.0,0.9986582584194285,0.9998631274428906,0.999727018887226
8,train,0.0002461741246000376,0.9999833776595745,0.9999667536612531,1.0,0.9999833765542921,0.9999999969606759,0.9999999969600695
8,val,0.005287384620442803,0.9984549240897488,0.9969193678006965,1.0,0.9984573076665102,0.9998640570751613,0.9997287967625507
9,train,0.0001422456506279172,0.9999916888297873,0.9999833790409707,1.0,0.9999916894514207,1.0,1.0
9,val,0.00436123046639241,0.9988579873706839,0.9977211796246649,1.0,0.9988592900758236,0.9998636148229161,0.999728235867718
10,train,0.00012058411448572557,0.9999916888297873,0.9999833793172224,1.0,0.9999916895895489,1.0,1.0
10,val,0.004690842864043107,0.9987908101571947,0.9975874547647768,1.0,0.998792270531401,0.9998643097907299,0.9997293037601119
11,train,8.411967139684922e-05,1.0,1.0,1.0,1.0,1.0,1.0
11,val,0.004592260262628941,0.9988579873706839,0.9977211796246649,1.0,0.9988592900758236,0.9998642285607259,0.9997291771815066
12,train,7.646262472994846e-05,1.0,1.0,1.0,1.0,1.0,1.0
12,val,0.004596385262981814,0.9988579873706839,0.9977211796246649,1.0,0.9988592900758236,0.999864345892954,0.9997293399015039
