epoch,split,loss,acc,prec,rec,f1,roc_auc,pr_auc
1,train,0.3959672489064805,0.7904255319148936,0.7611871122075203,0.846346937079212,0.8015113350125944,0.8889340065519402,0.8712765019244361
1,val,0.1730702182230277,0.938129786376461,0.8992409402546523,0.9868332661561199,0.9410031388123759,0.9754696578947828,0.9636073000838324
2,train,0.1614590496934475,0.9449301861702127,0.911319073083779,0.9857878989361702,0.9470918905107157,0.9768312360798952,0.9650479060908288
2,val,0.1206812847755913,0.9549240897487572,0.9190594059405941,0.9977159747413678,0.9567738194936546,0.9900551910945778,0.9857444027700831
3,train,0.08078425121889946,0.9750332446808511,0.9574682652750877,0.9942321437476106,0.9755039467675648,0.993470809195611,0.9904449875941416
3,val,0.05553868545903864,0.9822652156388553,0.9673219632860305,0.9982533924492812,0.9825443004496165,0.9965664889516634,0.9940302856922506
4,train,0.047053214320615724,0.9858710106382979,0.9761997849672563,0.9960275247656406,0.986013986013986,0.9975876369689146,0.9964251100657957
4,val,0.03496144251882011,0.9884455192798602,0.9780407626561473,0.9993282278651081,0.9885699096225412,0.9986503183521197,0.9979809091996245
5,train,0.026664510559528433,0.992362034574468,0.9872033159530897,0.99765625,0.9924022586539017,0.9990242983195078,0.9985334505635066
5,val,0.03501027897766465,0.9886470509203278,0.9781751249013937,0.9995969367190649,0.9887700179413914,0.9987415667235259,0.997577957225059
6,train,0.016203327705536254,0.9956283244680851,0.9927126710291493,0.9985871010638298,0.9956412211210183,0.9996230695041505,0.9994310169610956
6,val,0.019817624195343535,0.9936853419320166,0.9879166113397955,0.9995969367190649,0.9937224522505677,0.9992086302222295,0.9984988835544693
7,train,0.01097688676109488,0.9971658909574468,0.9952482656997632,0.9991024831300069,0.9971716501472235,0.9997835503794535,0.9996497509713161
7,val,0.022080684581206333,0.9939540507859734,0.9881821803213384,0.9998656455730216,0.9939895819420329,0.9990135338032073,0.9979743626209052
8,train,0.007088861288967235,0.9982380319148936,0.9970321489562781,0.9994515265843402,0.9982403718459495,0.9998262998558279,0.9996794541534237
8,val,0.026901139584832635,0.993080747010614,0.9864793213149523,0.9998656455730216,0.9931273770601188,0.9992975048724013,0.9986565649245208
9,train,0.005387147929998699,0.9986286569148937,0.9978424310822698,0.9994181987433093,0.9986296933004459,0.9998977912566687,0.9998244521123303
9,val,0.022033471318482198,0.9939540507859734,0.9883118608048878,0.9997312911460433,0.9939887790542346,0.9992876218885546,0.9985986870380728
10,train,0.0038148538349444005,0.999185505319149,0.9987377302396652,0.9996342781148699,0.999185803064039,0.9998963742402269,0.9997829410110989
10,val,0.016154347354077045,0.9954319494827355,0.9912082056747036,0.9997312911460433,0.9954515050167224,0.9995944366400461,0.9992539153891347
11,train,0.0031581173963941378,0.9993434175531914,0.9989701680951432,0.9997174155155505,0.9993436521190067,0.9999571500875649,0.9999226180901508
11,val,0.02000330275737553,0.9945586457073761,0.9893645307099176,0.9998656455730216,0.9945873705312396,0.9994812561675009,0.9989974380278875
12,train,0.0027770202038772504,0.9994930186170212,0.9991694490124748,0.9998171603337656,0.9994931997374609,0.9999542355137565,0.999916865053343
12,val,0.01964064438117899,0.9945586457073761,0.9893645307099176,0.9998656455730216,0.9945873705312396,0.9994837381954075,0.9990005070140942
